#Creator: wheelEventBuffer
#Creation time: Wed Apr  5 15:17:47 2017
#Time	Angular velocity
#[s]	[rad/s]
49.119336	4.806010
49.184846	4.784346
49.250656	4.763309
49.316770	4.741740
49.383212	4.715124
49.450062	4.685867
49.517370	4.650353
49.585232	4.610497
49.653716	4.564676
49.722930	4.516118
49.792884	4.465027
49.863672	4.412969
49.935280	4.360900
50.007748	4.309218
50.081072	4.262098
50.155176	4.214753
50.230086	4.172323
50.305764	4.131174
50.382112	4.096803
50.459076	4.065734
50.536600	4.039075
50.614610	4.014507
50.693104	3.990337
50.772092	3.965656
50.851620	3.935945
50.931806	3.901921
51.012776	3.860114
51.094690	3.812705
51.177692	3.758515
51.261968	3.700170
51.347598	3.637787
51.434762	3.573240
51.523496	3.508356
51.613894	3.442615
51.706006	3.380965
51.799758	3.319940
51.895170	3.264806
51.992192	3.212131
52.090664	3.167183
52.190500	3.125590
52.291594	3.089382
52.393840	3.055370
52.497230	3.022099
52.601790	2.988407
52.707628	2.949797
52.814998	2.905224
52.924226	2.850396
53.035762	2.786928
53.150084	2.712994
53.267786	2.630621
53.389374	2.540673
53.515488	2.446457
53.646604	2.349698
53.783312	2.250586
53.926232	2.151569
54.075824	2.051961
54.232706	1.956501
54.397328	1.864159
54.569842	1.779556
54.750380	1.702133
54.938932	1.631945
55.135614	1.565115
55.341082	1.496666
55.556688	1.423210
55.784862	1.339070
56.030402	1.234806
56.302486	1.099097
56.621514	0.917355
57.060674	0.640417
57.968746	0.227500
58.880516	0.603213
59.348226	0.857478
59.691004	1.017322
59.987242	1.125648
60.259884	1.192111
60.520372	1.226964
60.775040	1.243840
61.026996	1.251471
61.277590	1.255633
61.526784	1.263958
61.772876	1.285262
62.013138	1.325488
62.244622	1.387347
62.464802	1.466376
62.672554	1.560249
62.867922	1.661884
63.051464	1.767362
63.224410	1.871667
63.388078	1.973982
63.543600	2.071881
63.692312	2.160328
63.835348	2.237474
63.973946	2.301432
64.109138	2.351069
64.241996	2.383100
64.373408	2.401168
64.504086	2.408975
64.634424	2.412416
64.764608	2.413899
64.894652	2.416870
65.024326	2.426427
65.153230	2.444743
65.280878	2.476113
65.406632	2.517584
65.530062	2.570903
65.650864	2.631238
65.768780	2.697850
65.883782	2.766314
65.995994	2.835628
66.105498	2.903666
66.212606	2.966453
66.317538	3.023379
66.420704	3.070660
66.522436	3.108580
66.623156	3.133321
66.723222	3.147825
66.822968	3.153386
66.922572	3.155287
67.022116	3.156238
67.121606	3.158586
67.220910	3.166864
67.319830	3.181940
67.418142	3.208522
67.515522	3.241562
67.611762	3.284467
67.706758	3.330993
67.800324	3.383805
67.892410	3.438771
67.983054	3.495086
68.072236	3.550223
68.160126	3.601918
68.246788	3.649281
68.332450	3.688441
68.417286	3.720150
68.501540	3.740615
68.585392	3.753755
68.669058	3.758246
68.752630	3.760225
68.836162	3.761305
68.919658	3.763558
69.003046	3.769881
69.086216	3.781862
69.169040	3.804394
69.251300	3.831584
69.332874	3.867909
69.413684	3.908426
69.493578	3.955470
69.572534	4.002233
69.650648	4.044900
69.728002	4.079037
69.804870	4.100118
69.881444	4.107838
69.958076	4.096590
70.035050	4.070159
70.112704	4.025825
70.191326	3.969063
70.271188	3.901727
70.352450	3.831865
70.435214	3.761035
70.519560	3.689481
70.605498	3.621850
70.692968	3.559556
70.781882	3.507416
70.872038	3.460437
70.963286	3.422512
71.055544	3.388623
71.148602	3.362150
71.242360	3.338001
71.336802	3.315875
71.431860	3.293419
71.527658	3.267659
71.624264	3.237420
71.721946	3.198005
71.820984	3.149466
71.921806	3.087500
72.024862	3.013634
72.130692	2.928569
72.239748	2.836960
72.352456	2.741451
72.469190	2.644616
72.590156	2.551361
72.715448	2.463956
72.844992	2.387083
72.978496	2.318827
73.115596	2.262026
73.256024	2.212514
73.399312	2.171618
73.545222	2.134060
73.693658	2.099350
73.844568	2.064772
73.998378	2.023935
74.155722	1.973164
74.317906	1.907556
74.486820	1.822037
74.665532	1.708632
74.858618	1.565271
75.073092	1.392007
75.321142	1.184175
75.630836	0.923905
76.599708	0.300752
77.135070	0.271769
78.189912	0.714541
78.588854	0.925642
78.905076	1.097622
79.176068	1.244609
79.417908	1.370761
79.639838	1.474026
79.847976	1.553982
80.046652	1.615497
80.238692	1.660689
80.426278	1.692960
80.610620	1.716380
80.792456	1.739319
80.971848	1.763137
81.148800	1.787189
81.323126	1.817021
81.494280	1.852136
81.661842	1.896364
81.825270	1.948202
81.984006	2.009719
82.137816	2.076070
82.286628	2.147833
82.430498	2.221683
82.569752	2.293401
82.704822	2.361816
82.836214	2.423470
82.964552	2.476503
83.090478	2.516697
83.214576	2.548339
83.337232	2.575034
83.458800	2.596186
83.579438	2.612030
83.699388	2.626881
83.818628	2.641948
83.937148	2.658267
84.054848	2.680540
84.171450	2.705890
84.286830	2.738296
84.400780	2.775700
84.513020	2.820861
84.623370	2.871972
84.731708	2.928569
84.837946	2.986191
84.942152	3.044297
85.044410	3.102317
85.144902	3.153133
85.243994	3.192221
85.342172	3.212525
85.440040	3.212985
85.538228	3.191119
85.637422	3.149403
85.738188	3.089929
85.841144	3.017918
85.946696	2.937825
86.055220	2.853814
86.166888	2.775111
86.281650	2.699844
86.399546	2.629960
86.520582	2.562975
86.644590	2.502982
86.771468	2.448668
86.901066	2.399884
87.033258	2.353464
87.168114	2.306975
87.305822	2.258027
87.446772	2.202833
87.591704	2.137807
87.741728	2.057255
87.898164	1.965535
88.062706	1.862082
88.237714	1.741421
88.426520	1.601954
88.634090	1.445593
88.867776	1.270480
89.141200	1.069267
89.485700	0.827837
90.620370	0.257584
91.236368	0.228547
92.481294	0.628246
92.928946	0.847339
93.270084	1.038454
93.553610	1.207320
93.800432	1.360126
94.021508	1.498751
94.224022	1.618810
94.412850	1.718934
94.591884	1.799309
94.763902	1.860362
94.931272	1.899919
95.095840	1.921840
95.259036	1.930911
95.421620	1.934335
95.583906	1.936887
95.745830	1.942324
95.906900	1.955965
96.066340	1.981327
96.223242	2.021409
96.376610	2.073467
96.525764	2.137545
96.670292	2.210988
96.809858	2.292799
96.944636	2.372732
97.075252	2.443564
97.202508	2.498920
97.327558	2.532725
97.451494	2.542729
97.575638	2.525558
97.701326	2.481315
97.830094	2.407646
97.963570	2.309044
98.103486	2.191585
98.251426	2.064664
98.409144	1.930247
98.578718	1.787576
98.762354	1.644658
98.962380	1.506687
99.181056	1.376841
99.420414	1.256084
99.682292	1.148965
99.968308	1.053780
100.280290	0.966721
100.622018	0.880126
101.000042	0.792035
101.427778	0.694440
101.952104	0.552617
103.051056	0.251076
103.944960	0.231621
105.128852	0.471915
105.749206	0.579833
106.270064	0.638626
106.745890	0.685755
107.190292	0.731191
107.607140	0.777953
107.997904	0.831620
108.361974	0.895663
108.698820	0.972720
109.008762	1.060088
109.293076	1.156256
109.553868	1.259489
109.793726	1.369100
110.015320	1.475480
110.221644	1.577437
110.415436	1.673178
110.599250	1.753610
110.775988	1.810403
110.948636	1.836866
111.120292	1.832025
111.294126	1.791735
