#Creator: wheelEventBuffer
#Creation time: Wed Apr  5 15:17:47 2017
#Time	Angular velocity
#[s]	[rad/s]
47.969478	4.885684
48.033682	4.903375
48.097636	4.919500
48.161416	4.933560
48.225004	4.946611
48.288434	4.958791
48.351706	4.974180
48.414768	4.986813
48.477658	5.003333
48.540368	5.017877
48.602834	5.038964
48.665038	5.060555
48.726968	5.085787
48.788574	5.112271
48.849844	5.141555
48.910766	5.173219
48.971340	5.200107
49.031634	5.223278
49.091712	5.237210
49.151694	5.241229
49.211692	5.232674
49.271862	5.214089
49.332274	5.186543
49.393080	5.150490
49.454320	5.109444
49.516076	5.064961
49.578370	5.023655
49.641160	4.981278
49.704474	4.942098
49.768316	4.901539
49.832624	4.867064
49.897386	4.834261
49.962574	4.804393
50.028146	4.776780
50.094094	4.750632
50.160404	4.725621
50.227088	4.697077
50.294186	4.668320
50.361730	4.634711
50.429786	4.599427
50.498390	4.559244
50.567634	4.517028
50.637512	4.473674
50.708110	4.428521
50.779422	4.382069
50.851512	4.333949
50.924410	4.288044
50.998076	4.239666
51.072578	4.194047
51.147922	4.146989
51.224054	4.104833
51.300956	4.064892
51.378588	4.028509
51.456884	3.995514
51.535808	3.964955
51.615338	3.936438
51.695460	3.905705
51.776244	3.873632
51.857748	3.836544
51.940084	3.796395
52.023344	3.750797
52.107678	3.702263
52.193138	3.650213
52.279882	3.595487
52.367962	3.538706
52.457520	3.478368
52.548660	3.418714
52.641402	3.356044
52.735852	3.296530
52.832046	3.237087
52.929904	3.182778
53.029408	3.131384
53.130496	3.084408
53.233068	3.040702
53.337084	2.999707
53.442508	2.961029
53.549332	2.921162
53.657684	2.879712
53.767728	2.832101
53.879748	2.779531
53.994066	2.719287
54.111134	2.652252
54.231322	2.578161
54.355172	2.499358
54.483090	2.415866
54.615694	2.326864
54.753626	2.234514
54.897490	2.137051
55.048148	2.038328
55.206428	1.937413
55.373100	1.837275
55.549078	1.737876
55.735156	1.643024
55.931980	1.552984
56.140586	1.464557
56.362478	1.373830
56.600188	1.278037
56.858834	1.167141
57.148434	1.028001
57.492418	0.846453
57.986050	0.567646
58.896936	0.238474
59.815910	0.476924
60.404862	0.708319
60.818372	0.849345
61.172748	0.943659
61.496902	1.004821
61.804290	1.044982
62.100992	1.074637
62.389786	1.102012
62.670966	1.131608
62.943734	1.170350
63.205968	1.223829
63.455622	1.292847
63.691296	1.375960
63.912580	1.467417
64.120084	1.565255
64.315098	1.663821
64.498900	1.760825
64.673060	1.852376
64.839000	1.939710
64.997780	2.021851
65.150626	2.094786
65.298494	2.158191
65.442462	2.210366
65.583382	2.251909
65.722124	2.280449
65.859364	2.299545
65.995586	2.313669
66.130964	2.327588
66.265478	2.342619
66.399028	2.361319
66.531310	2.386721
66.661974	2.419700
66.790664	2.462488
66.916966	2.511185
67.040634	2.568171
67.161618	2.627585
67.279824	2.689121
67.395390	2.748694
67.508532	2.807149
67.619354	2.863334
67.728146	2.915307
67.835086	2.961699
67.940510	3.000681
68.044690	3.032777
68.147950	3.054954
68.250548	3.070360
68.352716	3.080416
68.454536	3.090355
68.555994	3.101521
68.657042	3.115856
68.757504	3.136825
68.857194	3.163420
68.955952	3.199048
69.053552	3.237687
69.149896	3.282202
69.244980	3.327888
69.338698	3.376532
69.431076	3.424900
69.522198	3.472601
69.612076	3.518100
69.700876	3.560362
69.788648	3.598782
69.875578	3.630976
69.961798	3.658289
70.047478	3.677302
70.132752	3.691561
70.217764	3.700781
70.302552	3.709520
70.387120	3.719270
70.471460	3.730487
70.555472	3.746950
70.639054	3.767982
70.722102	3.798047
70.804454	3.830463
70.886034	3.869242
70.966822	3.909788
71.046718	3.954275
71.125752	3.996225
71.204050	4.032129
71.281728	4.058066
71.359062	4.071741
71.436238	4.071952
71.513594	4.055133
71.591398	4.024175
71.669970	3.977102
71.749556	3.920228
71.830382	3.855756
71.912548	3.791813
71.996088	3.729690
72.081038	3.667771
72.167368	3.609781
72.255026	3.556574
72.343926	3.511572
72.433920	3.469303
72.524920	3.433360
72.616908	3.398594
72.709764	3.367556
72.803486	3.336086
72.898128	3.304435
72.993686	3.270585
73.090334	3.233156
73.188140	3.191897
73.287360	3.143416
73.388232	3.088471
73.491126	3.022506
73.596414	2.948357
73.704542	2.866574
73.815844	2.781795
73.930610	2.695304
74.049098	2.609947
74.171386	2.529178
74.297450	2.454484
74.427206	2.388899
74.560378	2.328762
74.696800	2.275923
74.836434	2.225586
74.979140	2.177941
75.125046	2.129287
75.274412	2.079478
75.427478	2.027096
75.584978	1.967110
75.747780	1.897120
75.917496	1.813099
76.096354	1.710939
76.288004	1.584071
76.497990	1.430324
76.735080	1.250315
77.015568	1.038316
77.383998	0.766504
78.167152	0.339466
78.946414	0.278212
79.874464	0.558744
80.377060	0.770183
80.752794	0.942114
81.065316	1.094822
81.337668	1.232422
81.582330	1.351676
81.807362	1.451806
82.018280	1.535946
82.218712	1.604900
82.411482	1.660373
82.598320	1.704978
82.780532	1.745271
82.958728	1.782241
83.133426	1.815257
83.305034	1.847952
83.473564	1.879730
83.639150	1.914531
83.801662	1.951954
83.960752	1.996462
84.116102	2.047414
84.267356	2.106529
84.414240	2.171858
84.556718	2.239739
84.694952	2.308229
84.829246	2.373091
84.960064	2.433306
85.087892	2.485083
85.213250	2.529829
85.336496	2.569011
85.458012	2.604451
85.577958	2.634415
85.696654	2.660833
85.814186	2.685122
85.930720	2.706963
86.046324	2.729636
86.160916	2.751921
86.274514	2.778449
86.387032	2.806246
86.498278	2.840397
86.608128	2.878234
86.716456	2.921977
86.823108	2.968864
86.928034	3.019136
87.031198	3.072703
87.132654	3.122173
87.232682	3.163420
87.331660	3.188657
87.430134	3.197094
87.528642	3.185230
87.627836	3.155096
87.728210	3.107903
87.830376	3.047132
87.934730	2.976910
88.041706	2.899272
88.151602	2.821621
88.264502	2.744180
88.380612	2.668971
88.500086	2.592972
88.622972	2.520857
88.749392	2.450311
88.879346	2.385235
89.012796	2.323801
89.149792	2.263885
89.290458	2.204750
89.435022	2.143642
89.583964	2.078818
89.738028	2.004794
89.898468	1.918624
90.066970	1.818514
90.245828	1.705515
90.437800	1.579563
90.646870	1.441852
90.879008	1.287105
91.145166	1.107489
91.469910	0.887977
91.959746	0.566545
92.892212	0.235378
93.825350	0.424530
94.471404	0.697487
94.880256	0.898795
95.205400	1.068823
95.483318	1.215570
95.730296	1.345309
95.955172	1.461464
96.163836	1.561117
96.360304	1.644641
96.547796	1.713085
96.728670	1.766488
96.904942	1.802778
97.078198	1.826401
97.249426	1.843852
97.418984	1.861707
97.586842	1.880788
97.752768	1.904711
97.916182	1.937987
98.076396	1.981527
98.232740	2.037217
98.384594	2.100276
98.531680	2.171198
98.673964	2.247398
98.811470	2.325383
98.944672	2.395602
99.074364	2.454599
99.201354	2.497569
99.326750	2.519886
99.451580	2.518916
99.577144	2.491943
99.704728	2.440261
99.835816	2.361887
99.971932	2.262515
100.114584	2.149979
100.265020	2.033630
100.424530	1.913668
100.594584	1.790020
100.776592	1.669036
100.971896	1.554105
101.181770	1.446499
101.407286	1.345067
101.649816	1.250624
101.911412	1.158721
102.195152	1.064903
102.507328	0.961355
102.859494	0.842743
103.276912	0.698573
103.885640	0.461650
104.922970	0.212866
105.966714	0.407054
106.658694	0.612485
107.137722	0.729382
107.547368	0.819403
107.916696	0.891768
108.258786	0.951127
108.580722	1.004705
108.885606	1.057768
109.174894	1.115757
109.448946	1.179277
109.707720	1.250674
109.951306	1.331037
110.180024	1.420635
110.394550	1.513408
110.596110	1.608846
110.786014	1.706089
110.965792	1.796202
111.137586	1.869929
111.303804	1.918014
111.467130	1.937126
111.630220	1.923487
111.796042	1.875958
111.967678	1.795339
112.148764	1.687631
112.343522	1.555121
112.557716	1.399510
112.799722	1.225003
113.083326	1.029855
113.442700	0.793035
114.549698	0.261173
115.256166	0.217312
116.535172	0.539841
117.053582	0.741068
117.441688	0.919315
117.760048	1.084355
118.033718	1.235729
118.277256	1.363089
118.500652	1.463575
118.710922	1.535480
118.913848	1.571519
119.114450	1.569901
119.318122	1.527076
119.531294	1.438050
119.763700	1.294659
120.032294	1.092819
120.377588	0.821765
121.164030	0.347641
121.837660	0.298375
122.731262	0.632165
123.177358	0.856557
