#Creator: wheelEventBuffer
#Creation time: Wed Apr  5 15:17:47 2017
#Time	Angular velocity
#[s]	[rad/s]
33.655358	7.384338
33.697826	7.410465
33.740154	7.432907
33.782344	7.460798
33.824388	7.482833
33.866312	7.506792
33.908076	7.533795
33.949720	7.556265
33.991224	7.582161
34.032590	7.608236
34.073806	7.632635
34.114888	7.663543
34.155796	7.694701
34.196546	7.724975
34.237126	7.758168
34.277528	7.792808
34.317770	7.823080
34.357854	7.851626
34.397822	7.872087
34.437704	7.883941
34.477572	7.881172
34.517468	7.869721
34.557462	7.842610
34.597604	7.812964
34.637926	7.770449
34.678476	7.727255
34.719220	7.689428
34.760192	7.647499
34.801378	7.608973
34.842772	7.570468
34.884372	7.530545
34.926192	7.495688
34.968196	7.461861
35.010396	7.427635
35.052782	7.395811
35.095346	7.365294
35.138106	7.330920
35.181060	7.296188
35.224234	7.258763
35.267630	7.219397
35.311278	7.177502
35.355172	7.137064
35.399332	7.091311
35.443762	7.051202
35.488466	7.004354
35.533468	6.959665
35.578734	6.917979
35.624306	6.871074
35.670174	6.827471
35.716334	6.785590
35.762776	6.740458
35.809524	6.701635
35.856534	6.663540
35.903816	6.625317
35.951364	6.589464
35.999162	6.554817
36.047234	6.517827
36.095572	6.479381
36.144220	6.438481
36.193176	6.395751
36.242484	6.349217
36.292142	6.303356
36.342186	6.252921
36.392620	6.206228
36.443456	6.153711
36.494732	6.102550
36.546404	6.054098
36.598536	6.000444
36.651118	5.949535
36.704148	5.899705
36.757626	5.847217
36.811576	5.800577
36.865942	5.755941
36.920730	5.711987
36.975936	5.670131
37.031532	5.630498
37.087552	5.587636
37.143994	5.543857
37.200916	5.496523
37.258328	5.447534
37.316298	5.394033
37.374828	5.340846
37.433984	5.281941
37.493790	5.225363
37.554276	5.163187
37.615506	5.101313
37.677448	5.040419
37.740204	4.974338
37.803766	4.911041
37.868152	4.849035
37.933354	4.785657
37.999418	4.726901
38.066278	4.670124
38.133956	4.614425
38.202434	4.561362
38.271694	4.510283
38.341772	4.457298
38.412686	4.403690
38.484516	4.345819
38.557332	4.284302
38.631264	4.217469
38.706384	4.148303
38.782840	4.072163
38.860736	3.996327
38.940174	3.915050
39.021320	3.831958
39.104226	3.747486
39.189122	3.657012
39.276126	3.567316
39.365356	3.477136
39.456906	3.386213
39.550916	3.299923
39.647348	3.216670
39.746280	3.135823
39.847776	3.056857
39.951904	2.978942
40.058862	2.898630
40.168880	2.815501
40.282376	2.725799
40.399860	2.627760
40.522072	2.520574
40.649888	2.403667
40.784576	2.272137
40.927778	2.128421
41.081710	1.969255
41.249684	1.793269
41.436746	1.594636
41.652428	1.363527
41.917282	1.085764
42.330550	0.670994
43.026578	0.323300
43.722206	0.546761
44.226066	0.907959
44.540644	1.162872
44.791962	1.381345
45.006700	1.574370
45.197168	1.747776
45.369998	1.904573
45.529580	2.046320
45.678788	2.176191
45.819732	2.290625
45.954106	2.393449
46.083086	2.483708
46.207766	2.561889
46.328934	2.627321
46.447260	2.685902
46.563082	2.740016
46.676650	2.793719
46.788018	2.848897
46.897148	2.907859
47.004014	2.972403
47.108404	3.045359
47.210298	3.122421
47.309654	3.202961
47.406510	3.286872
47.500940	3.367556
47.593172	3.448207
47.683262	3.528135
47.771396	3.603488
47.857718	3.677991
47.942378	3.745520
48.025582	3.809561
48.107452	3.866576
48.188210	3.917002
48.267996	3.959359
48.346978	3.997955
48.425224	4.031818
48.502802	4.067734
48.579682	4.105155
48.655828	4.145019
48.731230	4.188679
48.805758	4.239552
48.879408	4.292028
48.952132	4.347864
49.023902	4.408016
49.094692	4.466423
49.164576	4.526530
49.233520	4.587472
49.301596	4.643892
49.368836	4.701716
49.435286	4.754514
49.501024	4.806010
49.566084	4.852030
49.630572	4.893751
49.694542	4.929071
49.758084	4.961141
49.821236	4.987922
49.884050	5.015474
49.946506	5.044628
50.008588	5.074943
50.070292	5.108779
50.131520	5.149983
50.192280	5.191685
50.252530	5.236337
50.312252	5.286029
50.371412	5.331963
50.430072	5.381282
50.488170	5.433213
50.545750	5.480414
50.602822	5.529415
50.659410	5.574351
50.715550	5.619621
50.771260	5.659100
50.826606	5.696038
50.881612	5.726563
50.936348	5.754887
50.990824	5.778173
51.045084	5.802077
51.099110	5.828342
51.152886	5.854190
51.206430	5.881811
51.259666	5.917262
51.312604	5.952241
51.365212	5.990833
51.417468	6.034330
51.469348	6.073527
51.520902	6.116332
51.572074	6.161919
51.622894	6.202552
51.673368	6.246456
51.723500	6.285951
51.773326	6.327478
51.822834	6.363364
51.872082	6.397053
51.921084	6.425050
51.969890	6.451174
52.018512	6.470840
52.066984	6.491967
52.115290	6.515124
52.163422	6.537902
52.211390	6.562210
52.259136	6.593613
52.306672	6.625037
52.353974	6.657609
52.401030	6.697064
52.447802	6.731792
52.494346	6.770966
52.540608	6.810598
52.586660	6.836981
52.632550	6.857576
52.678354	6.862369
52.724168	6.856977
52.770066	6.835196
52.816154	6.801751
52.862496	6.756985
52.909174	6.707645
52.956204	6.651407
53.003630	6.598044
53.051440	6.544439
53.099640	6.490626
53.148240	6.439537
53.197176	6.396011
53.246468	6.351785
53.296086	6.310954
53.346018	6.274652
53.396236	6.233566
53.446786	6.197658
53.497614	6.163853
53.548748	6.124679
53.600194	6.089066
53.651950	6.050134
53.704056	6.011467
53.756506	5.967391
53.809374	5.920384
53.862680	5.866872
53.916500	5.810447
53.970858	5.748568
54.025804	5.687582
54.081336	5.627674
54.137456	5.567830
54.194182	5.510213
54.251448	5.458703
54.309270	5.408333
54.367616	5.360348
54.426466	5.317703
54.485784	5.271836
54.545622	5.230234
54.605918	5.189970
54.666720	5.145597
54.728032	5.102639
54.789888	5.055506
54.852340	5.007799
54.915412	4.955037
54.979206	4.896955
55.043798	4.832030
55.109304	4.763164
55.175790	4.687965
55.243362	4.612257
55.312044	4.537513
55.381848	4.463250
55.452818	4.392116
55.524856	4.327620
55.597988	4.264760
55.672170	4.205275
55.747380	4.150276
55.823580	4.093707
55.900850	4.039595
55.979138	3.986692
56.058516	3.930135
56.139052	3.873441
56.220830	3.811317
56.304008	3.745967
56.388736	3.672487
56.475290	3.591377
56.563944	3.499914
56.655050	3.401833
56.748892	3.297222
56.845814	3.190017
56.946078	3.080899
57.049952	2.971223
57.157716	2.863490
57.269450	2.761209
57.385370	2.662051
57.505574	2.567332
57.630212	2.477284
57.759492	2.385380
57.893986	2.291728
58.034202	2.194493
58.181038	2.091189
58.335726	1.979904
58.500236	1.852048
58.677752	1.705404
58.873530	1.530886
59.098372	1.311456
59.381586	1.009795
60.048230	0.417444
60.540492	0.387372
61.249424	0.880481
61.572708	1.158772
61.826090	1.367539
62.044452	1.536772
62.240860	1.680643
62.421780	1.805534
62.591234	1.912410
62.751784	2.008126
62.905068	2.095904
63.052260	2.178092
63.194050	2.256048
63.331196	2.328658
63.464048	2.402674
63.592808	2.479122
63.717580	2.557259
63.838536	2.639994
63.955686	2.725137
64.069214	2.811923
64.179280	2.899486
64.286044	2.987782
64.389752	3.074146
64.490616	3.158141
64.588938	3.236153
64.684986	3.308193
64.779092	3.372327
64.871450	3.432459
64.962294	3.485933
65.051758	3.538706
65.139944	3.587276
65.226956	3.635514
65.312784	3.684288
65.397552	3.729425
65.481264	3.776770
65.563922	3.825426
65.645508	3.874109
65.726050	3.928169
65.805440	3.985680
65.883678	4.045525
65.960746	4.108053
66.036628	4.172545
66.111384	4.234523
66.185060	4.294492
66.257762	4.350272
66.329562	4.401716
66.400574	4.448714
66.470836	4.494281
66.540434	4.534501
66.609404	4.576646
66.677780	4.612934
66.745622	4.650491
66.812878	4.689364
