#Creator: wheelEventBuffer
#Creation time: Wed Apr  5 15:17:47 2017
#Time	Angular velocity
#[s]	[rad/s]
34.111966	2.364162
34.245054	2.356748
34.378596	2.349030
34.512670	2.337982
34.647454	2.324660
34.783080	2.308196
34.919770	2.289991
35.057544	2.269904
35.196552	2.250650
35.336700	2.232133
35.478036	2.213324
35.620556	2.196426
35.764156	2.178394
35.908942	2.161279
36.054980	2.142180
36.202202	2.125053
36.350596	2.108650
36.500050	2.095066
36.650368	2.084003
36.801406	2.075412
36.952996	2.069315
37.105066	2.062685
37.257736	2.053946
37.411190	2.041321
37.565736	2.025553
37.721590	2.006151
37.879066	1.985133
38.038196	1.962833
38.199128	1.941868
38.361780	1.921064
38.526284	1.898771
38.692790	1.876362
38.861276	1.852267
39.031892	1.830168
39.204612	1.808194
39.379228	1.789408
39.555636	1.771868
39.733700	1.756689
39.913208	1.742986
40.094070	1.730791
40.276104	1.720553
40.459172	1.711443
40.643306	1.701653
40.828716	1.688139
41.015874	1.670527
41.205210	1.648766
41.397372	1.623042
41.592652	1.594426
41.791362	1.567849
41.993456	1.541659
42.199090	1.514137
42.408510	1.487581
42.621756	1.459089
42.839320	1.429855
43.061618	1.398128
43.288846	1.367170
43.520998	1.338705
43.757724	1.314936
43.998314	1.295737
44.242242	1.279598
44.489028	1.266230
44.738372	1.253648
44.990578	1.239043
45.246394	1.218834
45.507170	1.192789
45.774154	1.161892
46.049008	1.126988
46.332862	1.087786
46.627114	1.049268
46.932890	1.007987
47.252256	0.962527
47.587776	0.913721
47.942236	0.862137
48.319058	0.809109
48.722818	0.752290
