#Creator: pendulumSimpleEventBuffer
#Creation time: Wed Mar  1 17:42:31 2017
#Id	Edge	Time
#[]	[b]	[s]
459	1	242.605772
460	0	243.603916
461	1	243.669292
462	0	244.654296
463	1	244.719928
464	0	245.717112
465	1	245.782872
466	0	246.767916
467	1	246.833912
468	0	247.830848
469	1	247.897064
470	0	248.880984
471	1	248.947428
472	0	249.944328
473	1	250.010912
474	0	250.993964
475	1	251.060768
476	0	252.057608
477	1	252.124528
478	0	253.107404
479	1	253.174540
480	0	254.170792
481	1	254.238020
482	0	255.221096
483	1	255.288576
484	0	256.284268
485	1	256.351896
486	0	257.334532
487	1	257.402376
488	0	258.397804
489	1	258.465740
490	0	259.448056
491	1	259.516244
