#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 22 15:33:09 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
20.251	570	20.277	336
20.302	567	20.327	341
20.352	556	20.378	353
20.404	538	20.428	371
20.454	514	20.479	395
20.505	484	20.530	424
20.555	452	20.581	455
20.606	418	20.631	488
20.657	384	20.682	519
20.708	352	20.732	549
20.758	324	20.784	574
20.809	300	20.834	594
20.859	285	20.885	607
20.911	277	20.935	614
20.961	274	20.986	613
21.012	281	21.037	605
21.062	294	21.088	591
21.113	315	21.139	570
21.163	341	21.189	544
21.215	371	21.240	514
21.265	405	21.290	484
21.316	438	21.342	451
21.366	472	21.392	421
21.417	502	21.443	393
21.468	529	21.493	370
21.519	549	21.544	353
21.569	562	21.595	344
21.620	568	21.646	340
21.670	567	21.696	343
21.722	557	21.747	355
21.772	541	21.797	373
21.823	517	21.849	395
21.873	489	21.899	424
21.924	457	21.950	454
21.975	423	22.000	486
22.026	390	22.051	517
22.076	357	22.101	546
22.127	328	22.153	571
22.177	304	22.203	591
22.228	287	22.254	604
22.279	278	22.304	610
22.330	274	22.355	611
22.380	280	22.406	602
22.431	292	22.457	590
22.481	311	22.507	570
22.533	337	22.558	544
22.583	366	22.608	515
22.634	399	22.660	485
22.684	433	22.710	453
22.735	466	22.761	424
22.786	497	22.811	397
22.837	524	22.862	373
22.887	546	22.912	357
22.938	560	22.964	346
22.988	566	23.014	343
23.039	567	23.065	345
23.090	559	23.115	357
23.141	543	23.166	374
23.191	521	23.217	396
23.242	493	23.268	424
23.292	462	23.318	454
23.344	429	23.369	484
23.394	395	23.419	515
23.445	363	23.471	543
23.495	333	23.521	568
23.546	309	23.572	588
23.597	291	23.622	602
23.648	280	23.673	608
23.698	275	23.723	609
23.749	279	23.775	602
23.799	290	23.825	587
23.850	308	23.876	568
23.901	332	23.926	544
23.952	361	23.977	516
24.002	393	24.028	486
24.053	427	24.079	455
24.103	459	24.129	425
24.155	491	24.180	399
24.205	518	24.230	376
24.256	542	24.282	359
24.306	557	24.332	348
24.357	564	24.383	344
24.408	566	24.433	348
24.459	558	24.484	357
24.509	545	24.535	375
24.560	524	24.586	396
24.610	497	24.636	423
24.661	467	24.687	453
24.712	435	24.737	483
24.763	401	24.788	514
24.814	369	24.839	541
24.864	340	24.890	566
24.915	314	24.940	585
24.966	295	24.991	600
25.017	282	25.041	606
25.067	277	25.093	607
25.118	279	25.143	600
25.168	289	25.194	587
25.220	306	25.244	568
25.270	329	25.295	544
25.321	356	25.346	516
25.371	387	25.397	487
25.422	420	25.447	456
25.472	453	25.498	427
25.524	484	25.548	401
25.574	513	25.599	378
25.625	535	25.650	361
25.675	552	25.701	350
25.726	562	25.751	346
25.777	564	25.802	349
25.828	559	25.852	359
25.878	546	25.904	375
25.929	527	25.954	397
25.979	502	26.005	423
26.031	472	26.055	452
26.081	440	26.106	482
26.132	408	26.157	512
26.182	375	26.208	540
26.233	345	26.258	564
26.283	320	26.309	583
26.335	299	26.359	597
26.385	286	26.410	604
26.436	280	26.461	605
26.486	280	26.512	600
26.537	289	26.562	587
26.588	304	26.613	568
26.639	325	26.663	544
26.689	352	26.715	520
26.740	380	26.765	495
