#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 22 15:33:09 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
46.966	445	46.990	496
47.016	444	47.041	519
47.067	443	47.092	541
47.117	444	47.143	560
47.168	444	47.193	574
47.219	444	47.244	584
47.270	446	47.294	588
47.320	447	47.346	586
47.371	450	47.396	580
47.421	451	47.447	568
47.473	454	47.497	552
47.523	456	47.548	532
47.574	457	47.599	509
47.624	459	47.650	485
47.675	460	47.701	461
47.725	460	47.751	438
47.777	460	47.802	417
47.827	459	47.852	400
47.878	458	47.904	387
47.928	456	47.954	378
47.979	453	48.005	375
48.030	450	48.055	378
48.081	448	48.106	386
48.131	445	48.157	400
48.182	443	48.208	417
48.232	440	48.258	437
48.284	438	48.309	460
48.334	437	48.359	483
48.385	436	48.411	508
48.435	436	48.461	530
48.486	437	48.512	549
48.537	438	48.562	565
48.588	440	48.613	577
48.638	443	48.663	584
48.689	446	48.715	584
48.739	450	48.765	581
48.790	453	48.816	571
48.841	457	48.866	557
48.892	461	48.917	541
48.942	463	48.968	519
48.993	464	49.019	497
49.043	467	49.069	473
49.095	467	49.120	450
49.145	467	49.170	429
49.196	464	49.222	410
49.246	463	49.272	395
49.297	460	49.323	386
49.348	456	49.373	379
49.399	452	49.424	379
49.449	448	49.474	385
49.500	443	49.526	396
49.550	439	49.576	410
49.601	435	49.627	429
49.652	432	49.677	449
49.703	430	49.728	472
49.753	429	49.779	495
49.804	428	49.830	518
49.854	430	49.880	538
49.906	432	49.931	555
49.956	435	49.981	568
50.007	439	50.033	577
50.057	444	50.083	581
50.108	449	50.134	580
50.159	454	50.184	572
50.210	459	50.235	562
50.260	464	50.285	546
50.311	467	50.337	528
50.361	471	50.387	507
50.412	472	50.438	484
50.463	474	50.488	462
50.514	473	50.539	441
50.564	472	50.590	422
50.615	469	50.641	405
50.665	465	50.691	393
50.717	460	50.742	386
50.767	455	50.792	383
50.818	449	50.844	386
50.868	442	50.894	393
50.919	437	50.945	406
50.970	432	50.995	422
51.021	427	51.046	441
51.071	424	51.097	462
51.122	422	51.148	484
51.172	422	51.198	506
51.223	422	51.249	526
51.274	425	51.299	544
51.325	429	51.350	558
51.376	433	51.401	569
51.426	439	51.452	575
51.477	445	51.502	577
51.528	452	51.553	572
51.579	459	51.603	565
51.629	465	51.655	551
51.680	471	51.705	535
51.730	475	51.756	516
51.782	478	51.806	495
51.832	480	51.857	473
51.883	480	51.908	452
51.933	479	51.959	433
51.984	476	52.009	416
52.034	471	52.060	403
52.086	465	52.110	394
52.136	458	52.161	389
52.187	452	52.212	389
52.237	444	52.263	395
52.288	437	52.313	404
52.339	429	52.364	418
52.390	423	52.414	433
52.440	419	52.466	452
52.491	415	52.516	473
52.541	414	52.567	495
52.593	415	52.617	514
52.643	417	52.668	532
52.694	421	52.719	548
52.744	427	52.770	559
52.795	434	52.820	568
52.845	441	52.871	571
52.897	449	52.921	569
52.947	458	52.972	563
52.998	466	53.023	554
53.048	473	53.074	539
53.099	479	53.124	523
53.150	483	53.175	504
53.201	486	53.225	485
53.251	487	53.277	464
53.302	486	53.327	445
53.352	483	53.378	428
53.404	478	53.428	414
53.454	471	53.479	403
53.505	465	53.530	395
53.555	455	53.581	395
53.606	446	53.631	397
53.657	437	53.682	404
53.708	429	53.732	415
53.758	422	53.783	430
53.809	416	53.834	446
53.859	412	53.885	465
53.910	408	53.935	484
53.961	408	53.986	503
54.012	410	54.036	521
54.062	414	54.088	537
54.113	420	54.138	549
54.163	427	54.189	559
54.215	436	54.239	564
54.265	445	54.290	564
54.316	454	54.341	562
54.366	464	54.392	554
54.417	473	54.443	543
54.468	480	54.493	528
54.519	486	54.544	512
54.569	490	54.594	493
54.620	493	54.646	474
54.670	492	54.696	456
54.721	490	54.747	439
54.772	485	54.797	425
54.823	478	54.848	413
54.873	470	54.899	405
54.924	461	54.950	400
54.974	450	55.000	400
55.026	440	55.051	406
55.076	430	55.101	414
55.127	421	55.153	426
55.177	414	55.203	441
55.228	408	55.254	457
55.279	404	55.304	475
55.330	403	55.355	493
55.380	404	55.405	511
55.431	407	55.457	526
55.481	412	55.507	539
55.532	420	55.558	550
55.583	429	55.608	556
55.634	438	55.659	558
55.684	450	55.710	557
55.735	461	55.761	552
55.785	471	55.811	543
55.837	480	55.862	531
55.887	488	55.912	516
55.938	494	55.964	501
55.988	497	56.014	483
56.039	498	56.065	466
56.090	496	56.115	450
56.141	492	56.166	436
56.191	485	56.217	423
56.242	477	56.268	415
56.292	467	56.318	409
56.343	456	56.369	407
56.394	445	56.419	410
56.445	434	56.470	416
56.495	423	56.521	426
56.546	413	56.572	438
56.596	407	56.622	452
56.648	401	56.673	467
56.698	398	56.723	484
56.749	398	56.775	500
56.799	400	56.825	516
56.850	406	56.876	529
56.901	413	56.926	540
56.952	422	56.977	546
57.002	433	57.028	551
57.053	445	57.079	552
57.103	457	57.129	547
57.154	468	57.180	542
57.205	479	57.230	532
57.256	488	57.281	520
57.306	496	57.332	506
57.357	500	57.383	490
57.407	502	57.433	475
57.459	502	57.484	460
57.509	498	57.534	445
57.560	492	57.586	434
57.610	484	57.636	424
57.661	473	57.687	418
57.712	462	57.737	415
57.763	449	57.788	415
57.813	437	57.839	419
57.864	426	57.890	427
57.914	415	57.940	437
57.965	406	57.991	449
58.016	399	58.041	463
58.067	395	58.092	477
58.117	394	58.143	492
58.168	394	58.194	506
58.218	399	58.244	519
58.270	406	58.295	529
58.320	415	58.345	538
58.371	426	58.397	542
58.421	437	58.447	544
58.472	450	58.498	543
58.523	463	58.548	539
58.574	476	58.599	531
58.624	486	58.650	521
58.675	495	58.701	510
58.725	502	58.751	496
58.777	505	58.802	483
58.827	506	58.852	468
58.878	505	58.903	456
58.928	499	58.954	444
58.979	491	59.005	435
59.029	481	59.055	428
59.081	469	59.106	423
59.131	457	59.156	423
59.182	443	59.208	425
59.232	430	59.258	430
59.283	418	59.309	437
59.334	407	59.359	447
59.385	398	59.410	459
59.435	393	59.461	471
59.486	389	59.512	484
59.536	389	59.562	497
59.588	393	59.613	509
59.638	399	59.663	519
59.689	408	59.714	527
59.739	418	59.765	533
59.790	431	59.816	536
59.840	444	59.866	536
59.892	458	59.917	533
59.942	471	59.967	528
59.993	484	60.019	521
60.043	494	60.069	510
60.094	502	60.120	500
60.145	508	60.170	488
60.196	510	60.221	475
60.246	509	60.272	464
60.297	505	60.323	454
60.347	498	60.373	444
60.399	488	60.424	437
60.449	477	60.474	433
60.500	464	60.525	431
60.550	450	60.576	432
60.601	436	60.627	434
60.651	422	60.677	440
60.703	410	60.728	447
60.753	400	60.778	457
60.804	393	60.830	467
60.854	387	60.880	479
60.905	387	60.931	490
60.956	388	60.981	500
61.007	392	61.032	510
61.057	401	61.083	518
61.108	411	61.134	524
61.158	423	61.184	527
61.210	436	61.235	528
61.260	451	61.285	527
61.311	465	61.337	523
61.361	478	61.387	518
61.412	491	61.438	511
61.462	501	61.488	501
61.514	509	61.539	491
61.564	511	61.589	481
61.615	512	61.641	471
61.665	510	61.691	461
61.716	504	61.742	453
61.767	495	61.792	447
61.818	484	61.843	442
61.868	471	61.894	439
61.919	457	61.945	439
61.969	442	61.995	440
62.021	427	62.046	445
62.071	414	62.096	450
62.122	402	62.148	457
62.172	394	62.198	466
62.223	387	62.249	475
62.273	384	62.299	485
62.325	384	62.350	494
62.375	387	62.400	501
62.426	394	62.452	509
62.476	404	62.502	514
62.527	416	62.553	518
62.578	430	62.603	520
62.629	444	62.654	520
62.679	459	62.705	518
62.730	474	62.756	513
62.780	487	62.806	509
62.832	499	62.857	501
62.882	507	62.907	493
62.933	512	62.959	484
62.983	515	63.009	476
63.034	514	63.060	468
63.084	509	63.110	461
63.136	501	63.161	455
63.186	491	63.211	450
63.237	478	63.263	448
63.287	464	63.313	446
63.338	449	63.364	448
63.389	434	63.414	450
63.440	420	63.465	454
63.490	406	63.516	459
63.541	396	63.567	465
63.591	388	63.617	473
63.643	383	63.668	480
63.693	382	63.718	488
63.744	384	63.770	496
63.794	390	63.820	502
63.845	399	63.871	507
63.895	410	63.921	510
63.947	423	63.972	513
63.998	438	64.022	513
64.048	453	64.074	512
64.099	468	64.124	509
64.149	481	64.175	504
64.201	495	64.225	499
64.251	504	64.276	494
64.302	511	64.327	487
64.352	515	64.378	480
64.403	516	64.428	474
64.454	513	64.479	468
64.505	507	64.529	463
64.555	497	64.581	458
64.606	485	64.631	455
64.656	472	64.682	454
64.708	457	64.732	455
64.758	441	64.783	457
64.809	426	64.833	459
64.859	412	64.885	464
64.910	400	64.935	468
64.960	391	64.986	474
65.012	384	65.036	479
65.062	382	65.087	485
65.113	382	65.138	491
65.163	386	65.189	495
65.214	393	65.239	499
65.265	403	65.290	502
65.316	415	65.340	503
65.366	429	65.392	504
65.417	445	65.442	504
65.467	460	65.493	502
65.519	476	65.543	500
65.569	489	65.594	496
65.620	501	65.644	492
65.670	510	65.696	487
65.721	516	65.746	483
65.771	518	65.797	477
65.823	517	65.847	473
65.873	511	65.898	470
65.924	503	65.949	467
65.974	492	66.000	464
66.025	478	66.050	464
66.076	463	66.101	463
66.127	448	66.151	464
66.177	433	66.203	466
66.228	417	66.253	468
66.278	405	66.304	472
66.330	394	66.354	475
66.380	386	66.405	479
66.431	381	66.455	482
66.481	380	66.507	487
66.532	383	66.557	490
66.582	388	66.608	493
66.634	398	66.658	495
66.684	410	66.709	495
66.735	423	66.760	496
66.785	438	66.811	496
66.836	454	66.861	494
66.887	469	66.912	493
66.938	483	66.963	491
66.988	496	67.014	488
67.039	506	67.065	485
67.089	513	67.115	482
67.141	518	67.166	480
67.191	517	67.216	477
67.242	514	67.268	476
67.292	507	67.318	473
67.343	497	67.369	472
67.393	485	67.419	472
67.445	471	67.470	471
67.495	455	67.520	472
67.546	440	67.572	473
67.596	425	67.622	475
67.647	411	67.673	477
67.698	399	67.723	478
67.749	390	67.774	481
67.799	384	67.825	483
67.850	381	67.876	484
67.900	381	67.926	486
67.952	386	67.977	487
68.002	393	68.027	488
68.053	404	68.079	487
68.103	417	68.129	489
68.154	431	68.180	487
68.204	446	68.230	486
68.256	461	68.281	485
68.306	476	68.331	485
68.357	490	68.383	483
68.407	502	68.433	482
68.458	510	68.484	481
68.509	516	68.534	479
68.560	517	68.585	478
68.610	515	68.636	478
68.661	510	68.687	479
68.711	502	68.737	479
68.763	491	68.788	479
68.813	478	68.838	479
68.864	463	68.890	480
68.914	448	68.940	480
68.965	432	68.991	481
69.015	418	69.041	482
69.067	405	69.092	483
69.117	395	69.142	484
69.168	387	69.194	484
69.218	383	69.244	484
69.269	381	69.295	484
69.320	384	69.345	484
69.371	390	69.396	483
69.421	399	69.447	482
69.472	410	69.498	480
69.522	423	69.548	480
69.574	438	69.599	479
69.624	454	69.649	479
69.675	469	69.701	478
69.725	484	69.751	478
69.776	495	69.802	477
69.826	506	69.852	478
69.878	512	69.903	479
69.928	516	69.953	480
69.979	517	70.005	481
70.029	512	70.055	482
70.080	507	70.106	483
70.131	496	70.156	484
70.182	483	70.207	486
70.233	470	70.258	487
70.283	455	70.309	487
70.334	440	70.359	488
70.385	425	70.410	489
70.436	412	70.460	487
70.486	400	70.512	487
70.537	391	70.562	486
70.587	386	70.613	485
70.639	382	70.663	483
70.689	384	70.714	480
70.740	388	70.764	479
70.790	396	70.816	477
70.841	407	70.866	476
70.891	419	70.917	474
70.943	433	70.967	473
70.993	447	71.018	473
71.044	463	71.069	472
71.094	477	71.120	473
71.145	489	71.170	473
71.196	499	71.221	474
71.247	507	71.271	478
71.297	512	71.323	479
71.348	514	71.373	481
71.398	513	71.424	484
71.450	507	71.474	487
71.500	500	71.525	489
71.551	490	71.575	490
71.601	476	71.627	492
71.652	462	71.677	493
71.702	447	71.728	495
71.754	434	71.778	494
71.804	420	71.829	493
71.855	407	71.880	491
71.905	398	71.931	490
71.956	390	71.981	487
72.007	386	72.032	484
72.058	385	72.082	480
72.108	387	72.134	478
72.159	393	72.184	475
72.209	402	72.235	471
72.261	413	72.285	470
72.311	426	72.336	467
72.362	440	72.386	467
72.412	455	72.438	466
72.463	468	72.488	467
72.513	481	72.539	468
72.565	493	72.589	471
72.615	504	72.640	474
72.666	509	72.691	478
72.716	513	72.742	482
72.767	512	72.792	485
72.818	509	72.843	488
72.869	503	72.893	492
72.919	493	72.945	494
72.970	482	72.995	497
73.020	469	73.046	499
73.072	454	73.096	500
73.122	441	73.147	501
73.173	427	73.197	499
73.223	415	73.249	497
73.274	404	73.300	494
73.324	395	73.350	490
73.376	389	73.401	486
73.426	387	73.451	481
73.477	388	73.503	476
73.527	392	73.553	471
73.578	399	73.604	468
73.629	409	73.654	464
73.680	420	73.705	461
73.730	433	73.756	460
73.781	447	73.807	460
73.831	461	73.857	460
73.883	475	73.908	462
73.933	487	73.958	465
73.984	496	74.010	470
74.034	505	74.060	474
74.085	509	74.111	479
74.135	510	74.161	484
74.187	509	74.212	490
74.237	504	74.262	494
74.288	496	74.314	499
74.338	486	74.364	501
74.389	474	74.415	505
74.440	461	74.465	505
74.491	448	74.516	506
74.541	434	74.567	505
74.592	422	74.618	501
74.642	410	74.668	498
74.694	401	74.719	494
74.744	395	74.769	489
74.795	391	74.821	483
74.845	391	74.871	477
74.896	392	74.922	471
74.946	398	74.972	466
74.998	406	75.023	462
75.048	416	75.073	458
75.099	428	75.125	456
75.149	441	75.175	455
75.200	455	75.226	455
75.251	468	75.276	457
75.302	479	75.327	461
75.352	490	75.378	464
75.403	498	75.429	470
75.453	504	75.479	476
75.505	506	75.530	483
75.555	506	75.580	488
75.606	503	75.632	495
75.656	497	75.682	499
