#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 22 15:33:09 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
20.049	480	20.073	471
20.099	514	20.125	435
20.150	546	20.175	400
20.200	572	20.226	370
20.252	592	20.276	346
20.302	603	20.327	327
20.353	607	20.378	319
20.403	603	20.429	317
20.454	590	20.479	324
20.505	569	20.530	339
20.556	542	20.580	361
20.606	511	20.632	389
20.657	477	20.682	422
20.707	440	20.733	457
20.759	405	20.783	493
20.809	372	20.834	528
20.860	343	20.884	559
20.910	320	20.936	586
20.961	303	20.986	607
21.011	295	21.037	620
21.063	295	21.087	624
21.113	302	21.138	623
21.164	319	21.189	612
21.214	342	21.240	594
21.265	369	21.290	571
21.316	402	21.341	541
21.367	438	21.391	508
21.417	474	21.443	473
21.468	509	21.493	439
21.518	542	21.544	406
21.570	569	21.594	377
21.620	590	21.645	353
21.671	603	21.695	336
21.721	608	21.747	326
21.772	605	21.797	324
21.822	594	21.848	330
21.874	575	21.898	344
21.924	549	21.949	365
21.975	519	22.000	392
22.025	484	22.051	423
22.076	448	22.101	456
22.127	412	22.152	491
22.178	378	22.202	523
22.228	347	22.254	554
22.279	322	22.304	580
22.329	304	22.355	600
22.381	295	22.405	612
22.431	293	22.456	619
22.482	299	22.506	616
22.532	314	22.558	607
22.583	335	22.609	590
22.633	362	22.659	568
22.685	395	22.710	539
22.735	430	22.760	507
22.786	466	22.812	475
22.836	502	22.862	441
22.887	536	22.913	410
22.938	564	22.963	382
22.989	587	23.014	358
23.039	602	23.065	342
23.090	609	23.116	334
23.140	608	23.166	330
23.192	598	23.217	336
23.242	581	23.267	349
23.293	556	23.319	369
23.343	526	23.369	395
23.394	492	23.420	425
23.444	456	23.470	456
23.496	420	23.521	489
23.546	385	23.571	521
23.597	353	23.623	550
23.647	326	23.673	575
23.698	306	23.724	594
23.749	295	23.774	607
23.800	293	23.825	612
23.850	295	23.876	611
23.901	308	23.927	601
23.951	328	23.977	586
24.003	355	24.028	564
24.053	386	24.078	537
24.104	421	24.130	507
24.154	458	24.180	475
24.205	494	24.231	443
24.255	528	24.281	412
24.307	558	24.332	385
24.357	583	24.382	363
24.408	601	24.434	348
24.458	608	24.484	339
24.509	609	24.535	337
24.560	602	24.585	342
24.611	586	24.636	354
24.661	562	24.687	373
24.712	533	24.738	397
24.762	500	24.788	426
24.814	464	24.839	457
24.864	428	24.889	488
24.915	393	24.941	519
24.965	359	24.991	547
25.016	332	25.042	572
25.066	310	25.092	591
25.118	296	25.143	602
25.168	292	25.193	608
25.219	294	25.245	606
